5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/10/2023 0:00,101,1,100,1245
1/10/2023 0:15,38,1,100,1245
1/10/2023 0:30,90,1,100,1245
1/10/2023 0:45,37,1,100,1245
1/10/2023 1:00,3,1,100,1245
1/10/2023 1:15,21,1,100,1245
1/10/2023 1:30,117,1,100,1245
1/10/2023 1:45,21,1,100,1245
1/10/2023 2:00,43,1,100,1245
1/10/2023 2:15,81,1,100,1245
1/10/2023 2:30,82,1,100,1245
1/10/2023 2:45,70,1,100,1245
1/10/2023 3:00,115,1,100,1245
1/10/2023 3:15,101,1,100,1245
1/10/2023 3:30,35,1,100,1245
1/10/2023 3:45,66,1,100,1245
1/10/2023 4:00,105,1,100,1245
1/10/2023 4:15,23,1,100,1245
1/10/2023 4:30,27,1,100,1245
1/10/2023 4:45,29,1,100,1245
1/10/2023 5:00,15,1,100,1245
1/10/2023 5:15,87,1,100,1245
1/10/2023 5:30,103,1,100,1245
1/10/2023 5:45,11,1,100,1245
1/10/2023 6:00,61,1,100,1245
1/10/2023 6:15,50,1,100,1245
1/10/2023 6:30,88,1,100,1245
1/10/2023 6:45,28,1,100,1245
1/10/2023 7:00,70,1,100,1245
1/10/2023 7:15,54,1,100,1245
1/10/2023 7:30,100,1,100,1245
1/10/2023 7:45,43,1,100,1245
1/10/2023 8:00,21,1,100,1245
1/10/2023 8:15,37,1,100,1245
1/10/2023 8:30,79,1,100,1245
1/10/2023 8:45,74,1,100,1245
1/10/2023 9:00,5,1,100,1245
1/10/2023 9:15,15,1,100,1245
1/10/2023 9:30,71,1,100,1245
1/10/2023 9:45,112,1,100,1245
1/10/2023 10:00,60,1,100,1245
1/10/2023 10:15,3,1,100,1245
1/10/2023 10:30,87,1,100,1245
1/10/2023 10:45,76,1,100,1245
1/10/2023 11:00,88,1,100,1245
1/10/2023 11:15,70,1,100,1245
1/10/2023 11:30,26,1,100,1245
1/10/2023 11:45,27,1,100,1245
1/10/2023 12:00,83,1,100,1245
1/10/2023 12:15,38,1,100,1245
1/10/2023 12:30,48,1,100,1245
1/10/2023 12:45,6,1,100,1245
1/10/2023 13:00,77,1,100,1245
1/10/2023 13:15,72,1,100,1245
1/10/2023 13:30,97,1,100,1245
1/10/2023 13:45,66,1,100,1245
1/10/2023 14:00,81,1,100,1245
1/10/2023 14:15,39,1,100,1245
1/10/2023 14:30,86,1,100,1245
1/10/2023 14:45,108,1,100,1245
1/10/2023 15:00,29,1,100,1245
1/10/2023 15:15,106,1,100,1245
1/10/2023 15:30,39,1,100,1245
1/10/2023 15:45,60,1,100,1245
1/10/2023 16:00,115,1,100,1245
1/10/2023 16:15,19,1,100,1245
1/10/2023 16:30,61,1,100,1245
1/10/2023 16:45,42,1,100,1245
1/10/2023 17:00,71,1,100,1245
1/10/2023 17:15,8,1,100,1245
1/10/2023 17:30,48,1,100,1245
1/10/2023 17:45,89,1,100,1245
1/10/2023 18:00,15,1,100,1245
1/10/2023 18:15,93,1,100,1245
1/10/2023 18:30,98,1,100,1245
1/10/2023 18:45,107,1,100,1245
1/10/2023 19:00,77,1,100,1245
1/10/2023 19:15,12,1,100,1245
1/10/2023 19:30,79,1,100,1245
1/10/2023 19:45,46,1,100,1245
1/10/2023 20:00,57,1,100,1245
1/10/2023 20:15,36,1,100,1245
1/10/2023 20:30,94,1,100,1245
1/10/2023 20:45,38,1,100,1245
1/10/2023 21:00,61,1,100,1245
1/10/2023 21:15,74,1,100,1245
1/10/2023 21:30,105,1,100,1245
1/10/2023 21:45,6,1,100,1245
1/10/2023 22:00,90,1,100,1245
1/10/2023 22:15,7,1,100,1245
1/10/2023 22:30,56,1,100,1245
1/10/2023 22:45,8,1,100,1245
1/10/2023 23:00,1,1,100,1245
2/10/2023 0:00,49,1,100,1245
2/10/2023 0:15,86,1,100,1245
2/10/2023 0:30,47,1,100,1245
2/10/2023 0:45,70,1,100,1245
2/10/2023 1:00,38,1,100,1245
2/10/2023 1:15,3,1,100,1245
2/10/2023 1:30,20,1,100,1245
2/10/2023 1:45,51,1,100,1245
2/10/2023 2:00,81,1,100,1245
2/10/2023 2:15,57,1,100,1245
2/10/2023 2:30,32,1,100,1245
2/10/2023 2:45,102,1,100,1245
2/10/2023 3:00,72,1,100,1245
2/10/2023 3:15,5,1,100,1245
2/10/2023 3:30,111,1,100,1245
2/10/2023 3:45,27,1,100,1245
2/10/2023 4:00,52,1,100,1245
2/10/2023 4:15,86,1,100,1245
2/10/2023 4:30,87,1,100,1245
2/10/2023 4:45,66,1,100,1245
2/10/2023 5:00,33,1,100,1245
2/10/2023 5:15,108,1,100,1245
2/10/2023 5:30,11,1,100,1245
2/10/2023 5:45,120,1,100,1245
2/10/2023 6:00,61,1,100,1245
2/10/2023 6:15,66,1,100,1245
2/10/2023 6:30,83,1,100,1245
2/10/2023 6:45,108,1,100,1245
2/10/2023 7:00,104,1,100,1245
2/10/2023 7:15,10,1,100,1245
2/10/2023 7:30,10,1,100,1245
2/10/2023 7:45,115,1,100,1245
2/10/2023 8:00,99,1,100,1245
2/10/2023 8:15,33,1,100,1245
2/10/2023 8:30,40,1,100,1245
2/10/2023 8:45,68,1,100,1245
2/10/2023 9:00,68,1,100,1245
2/10/2023 9:15,55,1,100,1245
2/10/2023 9:30,95,1,100,1245
2/10/2023 9:45,92,1,100,1245
