5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/10/2023 0:00,71,1,100,9135
1/10/2023 0:15,78,1,100,9135
1/10/2023 0:30,90,1,100,9135
1/10/2023 0:45,101,1,100,9135
1/10/2023 1:00,81,1,100,9135
1/10/2023 1:15,38,1,100,9135
1/10/2023 1:30,31,1,100,9135
1/10/2023 1:45,22,1,100,9135
1/10/2023 2:00,57,1,100,9135
1/10/2023 2:15,94,1,100,9135
1/10/2023 2:30,76,1,100,9135
1/10/2023 2:45,51,1,100,9135
1/10/2023 3:00,120,1,100,9135
1/10/2023 3:15,74,1,100,9135
1/10/2023 3:30,10,1,100,9135
1/10/2023 3:45,42,1,100,9135
1/10/2023 4:00,115,1,100,9135
1/10/2023 4:15,75,1,100,9135
1/10/2023 4:30,86,1,100,9135
1/10/2023 4:45,33,1,100,9135
1/10/2023 5:00,74,1,100,9135
1/10/2023 5:15,26,1,100,9135
1/10/2023 5:30,40,1,100,9135
1/10/2023 5:45,97,1,100,9135
1/10/2023 6:00,41,1,100,9135
1/10/2023 6:15,75,1,100,9135
1/10/2023 6:30,23,1,100,9135
1/10/2023 6:45,30,1,100,9135
1/10/2023 7:00,20,1,100,9135
1/10/2023 7:15,4,1,100,9135
1/10/2023 7:30,22,1,100,9135
1/10/2023 7:45,42,1,100,9135
1/10/2023 8:00,14,1,100,9135
1/10/2023 8:15,51,1,100,9135
1/10/2023 8:30,10,1,100,9135
1/10/2023 8:45,25,1,100,9135
1/10/2023 9:00,117,1,100,9135
1/10/2023 9:15,72,1,100,9135
1/10/2023 9:30,31,1,100,9135
1/10/2023 9:45,65,1,100,9135
1/10/2023 10:00,89,1,100,9135
1/10/2023 10:15,49,1,100,9135
1/10/2023 10:30,119,1,100,9135
1/10/2023 10:45,15,1,100,9135
1/10/2023 11:00,120,1,100,9135
1/10/2023 11:15,79,1,100,9135
1/10/2023 11:30,29,1,100,9135
1/10/2023 11:45,54,1,100,9135
1/10/2023 12:00,112,1,100,9135
1/10/2023 12:15,54,1,100,9135
1/10/2023 12:30,81,1,100,9135
1/10/2023 12:45,35,1,100,9135
1/10/2023 13:00,91,1,100,9135
1/10/2023 13:15,35,1,100,9135
1/10/2023 13:30,62,1,100,9135
1/10/2023 13:45,23,1,100,9135
1/10/2023 14:00,107,1,100,9135
1/10/2023 14:15,114,1,100,9135
1/10/2023 14:30,88,1,100,9135
1/10/2023 14:45,9,1,100,9135
1/10/2023 15:00,71,1,100,9135
1/10/2023 15:15,88,1,100,9135
1/10/2023 15:30,67,1,100,9135
1/10/2023 15:45,17,1,100,9135
1/10/2023 16:00,95,1,100,9135
1/10/2023 16:15,5,1,100,9135
1/10/2023 16:30,48,1,100,9135
1/10/2023 16:45,72,1,100,9135
1/10/2023 17:00,86,1,100,9135
1/10/2023 17:15,41,1,100,9135
1/10/2023 17:30,9,1,100,9135
1/10/2023 17:45,92,1,100,9135
1/10/2023 18:00,103,1,100,9135
1/10/2023 18:15,50,1,100,9135
1/10/2023 18:30,22,1,100,9135
1/10/2023 18:45,98,1,100,9135
1/10/2023 19:00,60,1,100,9135
1/10/2023 19:15,34,1,100,9135
1/10/2023 19:30,93,1,100,9135
1/10/2023 19:45,87,1,100,9135
1/10/2023 20:00,114,1,100,9135
1/10/2023 20:15,45,1,100,9135
1/10/2023 20:30,81,1,100,9135
1/10/2023 20:45,81,1,100,9135
1/10/2023 21:00,50,1,100,9135
1/10/2023 21:15,68,1,100,9135
1/10/2023 21:30,50,1,100,9135
1/10/2023 21:45,58,1,100,9135
1/10/2023 22:00,70,1,100,9135
1/10/2023 22:15,119,1,100,9135
1/10/2023 22:30,87,1,100,9135
1/10/2023 22:45,86,1,100,9135
1/10/2023 23:00,72,1,100,9135
2/10/2023 0:00,93,1,100,9135
2/10/2023 0:15,103,1,100,9135
2/10/2023 0:30,77,1,100,9135
2/10/2023 0:45,91,1,100,9135
2/10/2023 1:00,116,1,100,9135
2/10/2023 1:15,58,1,100,9135
2/10/2023 1:30,96,1,100,9135
2/10/2023 1:45,16,1,100,9135
2/10/2023 2:00,109,1,100,9135
2/10/2023 2:15,64,1,100,9135
2/10/2023 2:30,82,1,100,9135
2/10/2023 2:45,55,1,100,9135
2/10/2023 3:00,109,1,100,9135
2/10/2023 3:15,109,1,100,9135
2/10/2023 3:30,104,1,100,9135
2/10/2023 3:45,78,1,100,9135
2/10/2023 4:00,47,1,100,9135
2/10/2023 4:15,21,1,100,9135
2/10/2023 4:30,115,1,100,9135
2/10/2023 4:45,29,1,100,9135
2/10/2023 5:00,53,1,100,9135
2/10/2023 5:15,32,1,100,9135
2/10/2023 5:30,76,1,100,9135
2/10/2023 5:45,80,1,100,9135
2/10/2023 6:00,41,1,100,9135
2/10/2023 6:15,30,1,100,9135
2/10/2023 6:30,56,1,100,9135
2/10/2023 6:45,103,1,100,9135
2/10/2023 7:00,102,1,100,9135
2/10/2023 7:15,78,1,100,9135
2/10/2023 7:30,19,1,100,9135
2/10/2023 7:45,35,1,100,9135
2/10/2023 8:00,81,1,100,9135
2/10/2023 8:15,40,1,100,9135
2/10/2023 8:30,48,1,100,9135
2/10/2023 8:45,86,1,100,9135
2/10/2023 9:00,15,1,100,9135
2/10/2023 9:15,53,1,100,9135
2/10/2023 9:30,34,1,100,9135
2/10/2023 9:45,28,1,100,9135
2/10/2023 10:00,44,1,100,9135
2/10/2023 10:15,5,1,100,9135
2/10/2023 10:30,120,1,100,9135
2/10/2023 10:45,47,1,100,9135
2/10/2023 11:00,45,1,100,9135
2/10/2023 11:15,109,1,100,9135
2/10/2023 11:30,24,1,100,9135
2/10/2023 11:45,51,1,100,9135
2/10/2023 12:00,106,1,100,9135
2/10/2023 12:15,95,1,100,9135
2/10/2023 12:30,12,1,100,9135
2/10/2023 12:45,96,1,100,9135
2/10/2023 13:00,112,1,100,9135
2/10/2023 13:15,120,1,100,9135
2/10/2023 13:30,40,1,100,9135
2/10/2023 13:45,47,1,100,9135
2/10/2023 14:00,22,1,100,9135
2/10/2023 14:15,68,1,100,9135
2/10/2023 14:30,43,1,100,9135
2/10/2023 14:45,92,1,100,9135
2/10/2023 15:00,23,1,100,9135
2/10/2023 15:15,44,1,100,9135
2/10/2023 15:30,44,1,100,9135
2/10/2023 15:45,43,1,100,9135
2/10/2023 16:00,91,1,100,9135
2/10/2023 16:15,88,1,100,9135
2/10/2023 16:30,10,1,100,9135
2/10/2023 16:45,40,1,100,9135
2/10/2023 17:00,9,1,100,9135
2/10/2023 17:15,105,1,100,9135
2/10/2023 17:30,60,1,100,9135
2/10/2023 17:45,35,1,100,9135
2/10/2023 18:00,20,1,100,9135
2/10/2023 18:15,20,1,100,9135
2/10/2023 18:30,30,1,100,9135
2/10/2023 18:45,98,1,100,9135
2/10/2023 19:00,15,1,100,9135
2/10/2023 19:15,92,1,100,9135
2/10/2023 19:30,77,1,100,9135
2/10/2023 19:45,83,1,100,9135
2/10/2023 20:00,103,1,100,9135
2/10/2023 20:15,89,1,100,9135
2/10/2023 20:30,99,1,100,9135
2/10/2023 20:45,61,1,100,9135
2/10/2023 21:00,112,1,100,9135
2/10/2023 21:15,33,1,100,9135
2/10/2023 21:30,55,1,100,9135
2/10/2023 21:45,51,1,100,9135
2/10/2023 22:00,48,1,100,9135
2/10/2023 22:15,9,1,100,9135
2/10/2023 22:30,80,1,100,9135
2/10/2023 22:45,72,1,100,9135
2/10/2023 23:00,87,1,100,9135
3/10/2023 0:00,41,1,100,9135
3/10/2023 0:15,74,1,100,9135
3/10/2023 0:30,67,1,100,9135
3/10/2023 0:45,41,1,100,9135
3/10/2023 1:00,109,1,100,9135
3/10/2023 1:15,69,1,100,9135
3/10/2023 1:30,101,1,100,9135
3/10/2023 1:45,72,1,100,9135
3/10/2023 2:00,116,1,100,9135
3/10/2023 2:15,45,1,100,9135
3/10/2023 2:30,94,1,100,9135
3/10/2023 2:45,1,1,100,9135
3/10/2023 3:00,8,1,100,9135
3/10/2023 3:15,14,1,100,9135
3/10/2023 3:30,79,1,100,9135
3/10/2023 3:45,115,1,100,9135
3/10/2023 4:00,13,1,100,9135
3/10/2023 4:15,76,1,100,9135
3/10/2023 4:30,5,1,100,9135
3/10/2023 4:45,119,1,100,9135
3/10/2023 5:00,16,1,100,9135
3/10/2023 5:15,63,1,100,9135
3/10/2023 5:30,55,1,100,9135
3/10/2023 5:45,115,1,100,9135
3/10/2023 6:00,61,1,100,9135
3/10/2023 6:15,71,1,100,9135
3/10/2023 6:30,87,1,100,9135
3/10/2023 6:45,13,1,100,9135
3/10/2023 7:00,103,1,100,9135
3/10/2023 7:15,58,1,100,9135
3/10/2023 7:30,56,1,100,9135
3/10/2023 7:45,99,1,100,9135
3/10/2023 8:00,26,1,100,9135
3/10/2023 8:15,72,1,100,9135
3/10/2023 8:30,50,1,100,9135
3/10/2023 8:45,103,1,100,9135
3/10/2023 9:00,111,1,100,9135
3/10/2023 9:15,105,1,100,9135
3/10/2023 9:30,69,1,100,9135
3/10/2023 9:45,119,1,100,9135
3/10/2023 10:00,17,1,100,9135
3/10/2023 10:15,53,1,100,9135
3/10/2023 10:30,29,1,100,9135
3/10/2023 10:45,2,1,100,9135
3/10/2023 11:00,38,1,100,9135
3/10/2023 11:15,1,1,100,9135
3/10/2023 11:30,120,1,100,9135
3/10/2023 11:45,103,1,100,9135
3/10/2023 12:00,62,1,100,9135
3/10/2023 12:15,18,1,100,9135
3/10/2023 12:30,112,1,100,9135
3/10/2023 12:45,38,1,100,9135
3/10/2023 13:00,115,1,100,9135
3/10/2023 13:15,30,1,100,9135
3/10/2023 13:30,71,1,100,9135
3/10/2023 13:45,22,1,100,9135
