5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/10/2023 0:00,18,1,100,3021
1/10/2023 0:15,90,1,100,3021
1/10/2023 0:30,56,1,100,3021
1/10/2023 0:45,10,1,100,3021
1/10/2023 1:00,106,1,100,3021
1/10/2023 1:15,17,1,100,3021
1/10/2023 1:30,91,1,100,3021
1/10/2023 1:45,18,1,100,3021
1/10/2023 2:00,99,1,100,3021
1/10/2023 2:15,35,1,100,3021
1/10/2023 2:30,96,1,100,3021
1/10/2023 2:45,56,1,100,3021
1/10/2023 3:00,13,1,100,3021
1/10/2023 3:15,6,1,100,3021
1/10/2023 3:30,36,1,100,3021
1/10/2023 3:45,85,1,100,3021
1/10/2023 4:00,53,1,100,3021
1/10/2023 4:15,14,1,100,3021
1/10/2023 4:30,52,1,100,3021
1/10/2023 4:45,95,1,100,3021
1/10/2023 5:00,69,1,100,3021
1/10/2023 5:15,26,1,100,3021
1/10/2023 5:30,70,1,100,3021
1/10/2023 5:45,59,1,100,3021
1/10/2023 6:00,53,1,100,3021
1/10/2023 6:15,26,1,100,3021
1/10/2023 6:30,67,1,100,3021
1/10/2023 6:45,89,1,100,3021
1/10/2023 7:00,78,1,100,3021
1/10/2023 7:15,110,1,100,3021
1/10/2023 7:30,115,1,100,3021
1/10/2023 7:45,18,1,100,3021
1/10/2023 8:00,96,1,100,3021
1/10/2023 8:15,48,1,100,3021
1/10/2023 8:30,65,1,100,3021
1/10/2023 8:45,23,1,100,3021
1/10/2023 9:00,42,1,100,3021
1/10/2023 9:15,36,1,100,3021
1/10/2023 9:30,94,1,100,3021
1/10/2023 9:45,120,1,100,3021
1/10/2023 10:00,87,1,100,3021
1/10/2023 10:15,40,1,100,3021
1/10/2023 10:30,35,1,100,3021
1/10/2023 10:45,41,1,100,3021
1/10/2023 11:00,45,1,100,3021
1/10/2023 11:15,103,1,100,3021
1/10/2023 11:30,41,1,100,3021
1/10/2023 11:45,90,1,100,3021
1/10/2023 12:00,10,1,100,3021
1/10/2023 12:15,85,1,100,3021
1/10/2023 12:30,96,1,100,3021
1/10/2023 12:45,24,1,100,3021
1/10/2023 13:00,61,1,100,3021
1/10/2023 13:15,92,1,100,3021
1/10/2023 13:30,61,1,100,3021
1/10/2023 13:45,64,1,100,3021
1/10/2023 14:00,66,1,100,3021
1/10/2023 14:15,108,1,100,3021
1/10/2023 14:30,90,1,100,3021
1/10/2023 14:45,107,1,100,3021
1/10/2023 15:00,81,1,100,3021
1/10/2023 15:15,49,1,100,3021
1/10/2023 15:30,69,1,100,3021
1/10/2023 15:45,82,1,100,3021
1/10/2023 16:00,61,1,100,3021
1/10/2023 16:15,86,1,100,3021
1/10/2023 16:30,25,1,100,3021
1/10/2023 16:45,16,1,100,3021
1/10/2023 17:00,115,1,100,3021
1/10/2023 17:15,104,1,100,3021
1/10/2023 17:30,103,1,100,3021
1/10/2023 17:45,7,1,100,3021
1/10/2023 18:00,52,1,100,3021
1/10/2023 18:15,92,1,100,3021
1/10/2023 18:30,47,1,100,3021
1/10/2023 18:45,109,1,100,3021
1/10/2023 19:00,46,1,100,3021
1/10/2023 19:15,109,1,100,3021
1/10/2023 19:30,15,1,100,3021
1/10/2023 19:45,24,1,100,3021
1/10/2023 20:00,32,1,100,3021
1/10/2023 20:15,14,1,100,3021
1/10/2023 20:30,110,1,100,3021
1/10/2023 20:45,46,1,100,3021
1/10/2023 21:00,96,1,100,3021
1/10/2023 21:15,15,1,100,3021
1/10/2023 21:30,113,1,100,3021
1/10/2023 21:45,116,1,100,3021
1/10/2023 22:00,75,1,100,3021
1/10/2023 22:15,57,1,100,3021
1/10/2023 22:30,62,1,100,3021
1/10/2023 22:45,109,1,100,3021
1/10/2023 23:00,51,1,100,3021
2/10/2023 0:00,40,1,100,3021
2/10/2023 0:15,23,1,100,3021
2/10/2023 0:30,93,1,100,3021
2/10/2023 0:45,92,1,100,3021
2/10/2023 1:00,26,1,100,3021
2/10/2023 1:15,104,1,100,3021
2/10/2023 1:30,63,1,100,3021
2/10/2023 1:45,58,1,100,3021
2/10/2023 2:00,8,1,100,3021
2/10/2023 2:15,6,1,100,3021
2/10/2023 2:30,39,1,100,3021
2/10/2023 2:45,83,1,100,3021
2/10/2023 3:00,71,1,100,3021
2/10/2023 3:15,36,1,100,3021
2/10/2023 3:30,105,1,100,3021
2/10/2023 3:45,16,1,100,3021
2/10/2023 4:00,13,1,100,3021
2/10/2023 4:15,120,1,100,3021
2/10/2023 4:30,112,1,100,3021
2/10/2023 4:45,101,1,100,3021
2/10/2023 5:00,114,1,100,3021
2/10/2023 5:15,16,1,100,3021
2/10/2023 5:30,14,1,100,3021
2/10/2023 5:45,16,1,100,3021
2/10/2023 6:00,97,1,100,3021
2/10/2023 6:15,83,1,100,3021
