5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/10/2023 0:00,17,1,100,8219
1/10/2023 0:15,15,1,100,8219
1/10/2023 0:30,96,1,100,8219
1/10/2023 0:45,75,1,100,8219
1/10/2023 1:00,46,1,100,8219
1/10/2023 1:15,98,1,100,8219
1/10/2023 1:30,41,1,100,8219
1/10/2023 1:45,103,1,100,8219
1/10/2023 2:00,26,1,100,8219
1/10/2023 2:15,86,1,100,8219
1/10/2023 2:30,87,1,100,8219
1/10/2023 2:45,1,1,100,8219
1/10/2023 3:00,30,1,100,8219
1/10/2023 3:15,112,1,100,8219
1/10/2023 3:30,78,1,100,8219
1/10/2023 3:45,53,1,100,8219
1/10/2023 4:00,118,1,100,8219
1/10/2023 4:15,90,1,100,8219
1/10/2023 4:30,9,1,100,8219
1/10/2023 4:45,46,1,100,8219
1/10/2023 5:00,55,1,100,8219
1/10/2023 5:15,24,1,100,8219
1/10/2023 5:30,110,1,100,8219
1/10/2023 5:45,50,1,100,8219
1/10/2023 6:00,34,1,100,8219
1/10/2023 6:15,110,1,100,8219
1/10/2023 6:30,68,1,100,8219
1/10/2023 6:45,55,1,100,8219
1/10/2023 7:00,102,1,100,8219
1/10/2023 7:15,57,1,100,8219
1/10/2023 7:30,1,1,100,8219
1/10/2023 7:45,117,1,100,8219
1/10/2023 8:00,86,1,100,8219
1/10/2023 8:15,91,1,100,8219
1/10/2023 8:30,20,1,100,8219
1/10/2023 8:45,73,1,100,8219
1/10/2023 9:00,62,1,100,8219
1/10/2023 9:15,90,1,100,8219
1/10/2023 9:30,16,1,100,8219
1/10/2023 9:45,34,1,100,8219
1/10/2023 10:00,2,1,100,8219
1/10/2023 10:15,70,1,100,8219
1/10/2023 10:30,42,1,100,8219
1/10/2023 10:45,50,1,100,8219
1/10/2023 11:00,53,1,100,8219
1/10/2023 11:15,112,1,100,8219
1/10/2023 11:30,53,1,100,8219
1/10/2023 11:45,17,1,100,8219
1/10/2023 12:00,104,1,100,8219
1/10/2023 12:15,3,1,100,8219
1/10/2023 12:30,9,1,100,8219
1/10/2023 12:45,74,1,100,8219
1/10/2023 13:00,77,1,100,8219
1/10/2023 13:15,43,1,100,8219
1/10/2023 13:30,106,1,100,8219
1/10/2023 13:45,119,1,100,8219
1/10/2023 14:00,44,1,100,8219
1/10/2023 14:15,61,1,100,8219
1/10/2023 14:30,112,1,100,8219
1/10/2023 14:45,110,1,100,8219
1/10/2023 15:00,19,1,100,8219
1/10/2023 15:15,84,1,100,8219
1/10/2023 15:30,67,1,100,8219
1/10/2023 15:45,46,1,100,8219
1/10/2023 16:00,40,1,100,8219
1/10/2023 16:15,89,1,100,8219
1/10/2023 16:30,60,1,100,8219
1/10/2023 16:45,97,1,100,8219
1/10/2023 17:00,74,1,100,8219
1/10/2023 17:15,15,1,100,8219
1/10/2023 17:30,78,1,100,8219
1/10/2023 17:45,102,1,100,8219
1/10/2023 18:00,49,1,100,8219
1/10/2023 18:15,110,1,100,8219
1/10/2023 18:30,11,1,100,8219
1/10/2023 18:45,107,1,100,8219
1/10/2023 19:00,89,1,100,8219
1/10/2023 19:15,52,1,100,8219
1/10/2023 19:30,105,1,100,8219
1/10/2023 19:45,3,1,100,8219
1/10/2023 20:00,107,1,100,8219
1/10/2023 20:15,9,1,100,8219
1/10/2023 20:30,80,1,100,8219
1/10/2023 20:45,55,1,100,8219
1/10/2023 21:00,113,1,100,8219
1/10/2023 21:15,114,1,100,8219
1/10/2023 21:30,108,1,100,8219
1/10/2023 21:45,65,1,100,8219
1/10/2023 22:00,4,1,100,8219
1/10/2023 22:15,94,1,100,8219
